title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,=,20450#123,123,6,54,123,123,1
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,>,11868#1403771,291662,6,129,1403771,291662,122151
title t,movie_keyword mk#t.id=mk.movie_id#t.kind_id,>,4,mk.keyword_id,=,5889#94,94,2,40,94,94,1
title t,movie_keyword mk#t.id=mk.movie_id##4508542,474980,6,132,4508542,474980,134009
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,=,17222#2932,2931,6,42,2932,2931,1
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,>,1767#3156641,386695,6,131,3156641,386695,132242
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,=,4333#6742,6740,6,106,6742,6740,1
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,>,5603#2111770,334969,6,131,2111770,334969,128406
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,>,486#3882843,416671,6,132,3882843,416671,133523
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,<,3302#1909762,409879,6,132,1909762,409879,3301
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,>,1727#3195094,387191,6,131,3195094,387191,132282
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,<,3596#2008139,412914,6,132,2008139,412914,3595
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,<,2488#1600432,387346,6,132,1600432,387346,2487
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,>,31525#579630,164878,6,129,579630,164878,102499
title t,movie_keyword mk#t.id=mk.movie_id#t.kind_id,<,7#3866234,376135,5,132,3866234,376135,120257
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,>,9957#1568374,302117,6,129,1568374,302117,124060
title t,movie_keyword mk#t.id=mk.movie_id#t.kind_id,>,1,mk.keyword_id,=,8485#20,20,5,15,20,20,1
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,=,167#290,290,5,56,290,290,1
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,<,519#661652,303841,6,129,661652,303841,518
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,<,8227#2790305,439458,6,132,2790305,439458,8222
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,<,6069#2482143,429249,6,132,2482143,429249,6068
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,>,4472#2303520,343661,6,131,2303520,343661,129537
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,=,110#4583,4583,6,91,4583,4583,1
title t,movie_keyword mk#t.id=mk.movie_id#t.kind_id,>,3#1198260,180017,3,72,1198260,180017,73809
title t,movie_keyword mk#t.id=mk.movie_id#t.kind_id,=,1,mk.keyword_id,=,3175#278,278,1,74,278,278,1
title t,movie_keyword mk#t.id=mk.movie_id#mk.keyword_id,=,2905#1568,1550,6,82,1568,1550,1
title t,movie_keyword mk#t.id=mk.movie_id#t.kind_id,<,7,mk.keyword_id,<,11108#2621883,355719,5,132,2621883,355719,10600
title t,movie_keyword mk#t.id=mk.movie_id#t.kind_id,<,7,mk.keyword_id,<,11662#2659024,356054,5,132,2659024,356054,11129
