title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,=,7,mi_idx.info_type_id,>,99#282316,141158,1,74,282316,141158,2
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,=,7#423474,141158,1,74,423474,141158,3
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#mi_idx.info_type_id,>,101#260,260,1,79,260,260,2
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,>,1#746130,248710,5,79,746130,248710,3
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id##1374263,458001,6,128,1374263,458001,5
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#mi_idx.info_type_id,<,100#458001,458001,6,128,458001,458001,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,=,7,mi_idx.info_type_id,=,100#141158,141158,1,74,141158,141158,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,=,3,mi_idx.info_type_id,<,101#73802,36901,1,73,73802,36901,2
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#mi_idx.info_type_id,=,99#458001,458001,6,128,458001,458001,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,=,1,mi_idx.info_type_id,=,100#209291,209291,1,128,209291,209291,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,<,7,mi_idx.info_type_id,=,99#316843,316843,5,128,316843,316843,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,<,4#851264,283668,3,128,851264,283668,5
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#mi_idx.info_type_id,<,101#916002,458001,6,128,916002,458001,2
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,=,2,mi_idx.info_type_id,=,100#37476,37476,1,73,37476,37476,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#mi_idx.info_type_id,=,101#458001,458001,6,128,458001,458001,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#mi_idx.info_type_id,>,100#458261,458001,6,128,458261,458001,3
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,=,7,mi_idx.info_type_id,=,101#141158,141158,1,74,141158,141158,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,<,2,mi_idx.info_type_id,=,101#209291,209291,1,128,209291,209291,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,<,7,mi_idx.info_type_id,>,99#633946,316843,5,128,633946,316843,4
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#mi_idx.info_type_id,=,100#458001,458001,6,128,458001,458001,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,<,7,mi_idx.info_type_id,>,100#317103,316843,5,128,317103,316843,3
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,>,1,mi_idx.info_type_id,=,101#248710,248710,5,79,248710,248710,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,<,7#950789,316843,5,128,950789,316843,5
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,>,1,mi_idx.info_type_id,=,100#248710,248710,5,79,248710,248710,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,<,7,mi_idx.info_type_id,<,100#316843,316843,5,128,316843,316843,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#mi_idx.info_type_id,>,99#916262,458001,6,128,916262,458001,4
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,>,4#440112,146704,2,74,440112,146704,3
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,=,7,mi_idx.info_type_id,>,100#141158,141158,1,74,141158,141158,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,=,1,mi_idx.info_type_id,<,101#418582,209291,1,128,418582,209291,2
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,<,7,mi_idx.info_type_id,=,100#316843,316843,5,128,316843,316843,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,>,1,mi_idx.info_type_id,>,99#497420,248710,5,79,497420,248710,2
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,<,7,mi_idx.info_type_id,<,101#633686,316843,5,128,633686,316843,2
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,=,7,mi_idx.info_type_id,<,100#141158,141158,1,74,141158,141158,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,>,1,mi_idx.info_type_id,<,100#248710,248710,5,79,248710,248710,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,=,1#628133,209291,1,128,628133,209291,5
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,=,6,mi_idx.info_type_id,=,101#5546,5546,1,43,5546,5546,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,>,1,mi_idx.info_type_id,=,99#248710,248710,5,79,248710,248710,1
title t,movie_info_idx mi_idx#t.id=mi_idx.movie_id#t.kind_id,=,1,mi_idx.info_type_id,<,100#209291,209291,1,128,209291,209291,1
