1269832,1269832,724729,70794,1
1231055,1231055,892607,204759,1
2323160,2323160,983667,95749,2
109183,109183,106424,20,1
1269832,1269832,724729,70794,1
62,62,62,1,1
1168,1168,1098,1113,1
1600265,1600265,844559,230023,2
622107,622107,489702,173316,2
17,17,14,1,2
61,61,60,1,1
185,185,185,1,1
559760,559760,481210,12983,1
6,6,6,1,1
1334235,1334235,947284,205012,1
875590,875590,483206,2608,2
1537462,1537462,742425,14535,2
1334235,1334235,947284,205012,1
48580,48580,43952,32439,1
1964325,1964325,899477,57061,2
669487,669487,410311,1074,2
274,274,273,1,1
967717,967717,748134,199839,1
7,7,7,1,1
1269832,1269832,724729,70794,1
1508,1508,1360,1,2
223811,223811,191698,159,1
292302,292302,216380,159,2
611629,611629,386621,740,2
1269832,1269832,724729,70794,1
2383736,2383736,1028116,234784,2
521,521,501,1,2
2397634,2397634,1033355,234790,2
857049,857049,661273,196630,1
801733,801733,455920,1783,2
4375,4375,4253,1,1
98698,98698,95463,239,1
745376,745376,454142,7338,1
1710365,1710365,870092,232028,2
3,3,3,1,1
2508307,2508307,1052093,159984,2
549395,549395,343306,64786,1
881182,881182,680317,197515,1
1540940,1540940,826127,228428,2
2265599,2265599,970528,89389,2
5,5,5,1,1
1579005,1579005,754587,15750,2
56,56,56,1,1
887034,887034,689937,47572,1
718335,718335,410652,69094,1
492699,492699,426845,8719,1
1247635,1247635,900500,204831,1
1085894,1085894,816575,203435,1
1248150,1248150,710522,53208,1
255,255,250,1,1
10162,10162,6227,1,2
326,326,198,1,2
1260046,1260046,718282,62180,1
1151328,1151328,839795,89227,1
927301,927301,719416,198219,1
111,111,111,1,1
714225,714225,599432,33776,1
850376,850376,515698,11201,1
1533374,1533374,824331,228137,2
53684,53684,47128,46399,1
1,1,1,1,1
1096916,1096916,822000,203659,1
1263474,1263474,720417,65028,1
987331,987331,583426,13106,1
938217,938217,515487,70477,1
1265125,1265125,910444,204877,1
852629,852629,474955,70162,1
68,68,68,1,1
1032258,1032258,788156,202012,1
77962,77962,76592,143,1
3,3,3,1,1
1933179,1933179,886952,50332,2
1996,1996,1996,1,1
1,1,1,1,1
329462,329462,290725,4026,1
2117982,2117982,962886,234432,2
803031,803031,582774,204852,2
2176423,2176423,981147,234555,2
229054,229054,177032,91,2
1940924,1940924,919393,233849,2
884234,884234,688957,47403,1
1258,1258,1073,1,1
10,10,5,1,2
858570,858570,662393,196746,1
1056046,1056046,802357,202658,1
1630835,1630835,773627,17537,2
896533,896533,541559,11425,1
35,35,35,1,1
61619,61619,54032,52357,1
10,10,10,1,1
23,23,23,1,1
4350,4350,4333,1,1
3,3,3,1,1
797695,797695,617669,193933,1
2408014,2408014,1035133,234805,2
1408173,1408173,691748,12362,2
699616,699616,421424,1309,2
1376482,1376482,679884,11927,2
2441961,2441961,1038699,234830,2
6,6,6,1,1
4,4,2,1,2
787501,787501,575009,203161,2
62073,62073,55654,1,2
6007,6007,5813,1,1
1433,1433,1415,1,2
81776,81776,71105,42915,1
458661,458661,395442,7690,1
100,100,100,1,1
1621563,1621563,849891,230363,2
2430773,2430773,1023648,122492,2
328429,328429,270187,143952,1
1550563,1550563,746772,14878,2
805204,805204,654236,42854,1
1108897,1108897,696293,220880,2
57499,57499,51562,36019,1
1552129,1552129,829342,228648,2
1269832,1269832,724729,70794,1
1269832,1269832,724729,70794,1
15,15,9,1,2
3,3,3,1,1
1028085,1028085,758114,63249,1
14,14,14,1,1
22,22,21,1,2
42,42,42,1,1
1222292,1222292,729646,222898,2
940371,940371,639791,215899,2
2,2,2,1,1
523868,523868,454381,10404,1
1,1,1,1,1
1548239,1548239,745838,14808,2
2421661,2421661,1020138,119251,2
1269832,1269832,724729,70794,1
822502,822502,458229,70020,1
791102,791102,470862,10484,1
464749,464749,340175,873,1
1,1,1,1,1
618517,618517,492852,170877,1
912479,912479,705760,198162,1
4675,4675,4675,1,1
2592286,2592286,1082644,223696,2
3890,3890,3008,1,2
190287,190287,177019,794,1
6,6,6,1,1
22967,22967,22902,18,1
1995756,1995756,910874,65345,2
8,8,8,1,1
1605684,1605684,764184,16716,2
7110,7110,6848,1,1
1826463,1826463,894210,233173,2
1269832,1269832,724729,70794,1
1247119,1247119,737514,223175,2
2174758,2174758,953604,79151,2
966089,966089,511849,4121,2
362004,362004,312761,4962,1
1005,1005,993,1,1
532030,532030,349816,520,2
66518,66518,64683,18,1
731341,731341,430871,1433,2
250776,250776,191717,119,2
1,1,1,1,1
45,45,43,1,2
2058,2058,2055,1,1
431718,431718,353444,155986,1
269356,269356,222186,137202,1
1241328,1241328,898124,204818,1
388313,388313,331423,6158,1
2,2,2,1,1
1326575,1326575,942925,197629,1
609127,609127,521517,18121,1
1283762,1283762,747134,223477,2
378739,378739,324347,5853,1
948156,948156,735759,198968,1
146445,146445,134093,48,1
791951,791951,452879,1714,2
1006546,1006546,525266,4952,2
