title t##t.production_year,>,2004#1107925
title t##t.production_year,=,1993#26775
title t##t.kind_id,>,3#1674098
title t##t.production_year,<,2012#2224569
title t##t.kind_id,=,7,t.production_year,>,2011#150659
title t##t.kind_id,=,1#662825
title t##t.production_year,>,2010#391666
title t##t.production_year,<,1999#971188
title t##t.kind_id,>,4#1555864
title t##t.production_year,>,1960#2203697
title t##t.kind_id,=,1,t.production_year,=,2007#17772
title t##t.kind_id,>,1,t.production_year,=,1958#6736
title t##t.kind_id,=,7,t.production_year,>,2007#518327
title t##t.kind_id,=,4,t.production_year,=,2012#5186
title t##t.kind_id,<,7,t.production_year,<,1984#334539
title t##t.kind_id,=,7,t.production_year,>,1913#1478439
title t##t.kind_id,=,2#90852
title t##t.kind_id,=,1,t.production_year,=,2009#28104
title t##t.kind_id,=,7,t.production_year,>,1988#1189548
title t##t.production_year,=,2004#84593
title t##t.production_year,=,1985#18391
title t##t.kind_id,>,3,t.production_year,>,1985#1351187
title t##t.production_year,=,1992#24917
title t##t.kind_id,<,7,t.production_year,<,2010#793943
title t##t.kind_id,=,7#1543264
title t##t.kind_id,<,7,t.production_year,>,2004#368246
title t##t.kind_id,=,2,t.production_year,>,2013#86
title t##t.kind_id,=,1,t.production_year,>,2012#22021
title t##t.kind_id,>,1,t.production_year,>,2007#602533
title t##t.kind_id,=,7,t.production_year,=,2013#40120
title t##t.production_year,<,2008#1671292
title t##t.kind_id,=,7,t.production_year,<,2005#738761
title t##t.production_year,=,2006#108429
title t##t.kind_id,=,3#100537
title t##t.kind_id,=,4#118234
title t##t.kind_id,>,1#1865487
title t##t.kind_id,=,1,t.production_year,=,1975#4371
title t##t.production_year,>,1927#2346476
title t##t.kind_id,<,7,t.production_year,=,1967#5783
title t##t.production_year,<,2005#1348293
title t##t.kind_id,=,7,t.production_year,=,2012#110402
title t##t.kind_id,<,3,t.production_year,>,1982#447610
title t##t.kind_id,<,7,t.production_year,=,1997#12969
title t##t.kind_id,<,7#985048
title t##t.production_year,<,1984#568449
title t##t.production_year,>,2006#904491
title t##t.production_year,>,2003#1192518
title t##t.kind_id,=,2,t.production_year,<,1985#18494
title t##t.production_year,<,1987#622851
title t##t.kind_id,=,7,t.production_year,>,2004#739679
title t##t.production_year,<,2013#2388876
title t##t.kind_id,<,7,t.production_year,>,2013#3378
title t##t.kind_id,>,4,t.production_year,=,2012#110779
title t##t.kind_id,=,1,t.production_year,<,1938#135835
title t##t.kind_id,=,7,t.production_year,<,2010#1128906
title t##t.kind_id,>,1,t.production_year,=,1996#30647
title t##t.production_year,<,1933#122932
title t##t.kind_id,>,4,t.production_year,<,2008#970290
title t##t.kind_id,>,4,t.production_year,<,2006#810813
title t##t.kind_id,<,3,t.production_year,=,1998#9093
title t##t.kind_id,>,1,t.production_year,=,2012#124747
title t##t.kind_id,>,1,t.production_year,<,2011#1507233
title t##t.production_year,=,1983#15489
title t##t.production_year,>,1988#1793384
title t##t.production_year,<,2011#2064552
title t##t.kind_id,=,7,t.production_year,<,1917#1
title t##t.kind_id,=,1,t.production_year,<,2006#440029
title t##t.production_year,=,1998#46583
title t##t.kind_id,>,1,t.production_year,<,1956#25797
title t##t.production_year,>,2007#784926
title t##t.production_year,>,2011#231649
title t##t.kind_id,<,4#854214
title t##t.kind_id,<,7,t.production_year,<,1902#9434
title t##t.kind_id,=,7,t.production_year,=,1996#24301
title t##t.kind_id,=,7,t.production_year,>,1995#1074493
title t##t.kind_id,<,7,t.production_year,>,2009#183835
title t##t.kind_id,=,7,t.production_year,<,2003#638430
title t##t.kind_id,=,7,t.production_year,<,2011#1221534
title t##t.kind_id,=,7,t.production_year,<,2007#876037
title t##t.production_year,<,1966#309534
title t##t.kind_id,>,3,t.production_year,>,2002#923009
title t##t.kind_id,<,3#753677
title t##t.kind_id,<,7,t.production_year,>,2011#80990
title t##t.kind_id,>,1,t.production_year,=,1993#21707
title t##t.kind_id,=,2,t.production_year,>,2000#49193
title t##t.kind_id,<,2#662825
title t##t.kind_id,>,1,t.production_year,>,2001#1057588
title t##t.kind_id,=,1,t.production_year,>,2010#98992
title t##t.kind_id,=,2,t.production_year,<,1986#19368
title t##t.kind_id,<,7,t.production_year,=,2012#53905
title t##t.kind_id,<,7,t.production_year,=,2004#28113
title t##t.kind_id,=,7,t.production_year,>,2013#137
title t##t.production_year,>,2005#1012920
title t##t.production_year,>,1974#2018703
title t##t.production_year,=,1972#13623
title t##t.production_year,>,1975#2004649
title t##t.kind_id,=,7,t.production_year,>,1998#992072
title t##t.kind_id,<,7,t.production_year,=,2010#49075
title t##t.production_year,=,2007#119565
title t##t.production_year,=,2005#95005
title t##t.kind_id,<,7,t.production_year,=,1944#1826
title t##t.production_year,>,1986#1833367
title t##t.production_year,=,2011#160017
title t##t.kind_id,<,7,t.production_year,<,1991#392019
title t##t.production_year,>,2008#662065
title t##t.production_year,>,1990#1749032
title t##t.production_year,<,2001#1074765
title t##t.production_year,=,1996#36509
title t##t.production_year,<,1994#782677
title t##t.production_year,<,1974#423779
title t##t.production_year,=,2012#164307
title t##t.kind_id,>,2,t.production_year,<,2013#1666241
title t##t.production_year,<,1976#451569
title t##t.production_year,>,2009#533369
title t##t.production_year,=,1999#50564
title t##t.kind_id,<,7,t.production_year,>,2005#335993
