1130980,1130980,167204,82049
524624,524624,143634,3664
186887,186887,99585,647
521511,521511,79296,22142
137202,137202,85487,359
28605,28605,27333,47
578142,578142,145916,4918
445741,445741,96343,74272
286075,286075,76195,65786
225816,225816,64345,61047
352957,352957,71468,61893
968145,968145,163070,29027
1130965,1130965,167193,82049
1130965,1130965,167193,82049
79697,79697,15660,10160
15,15,15,1
7,7,1,7
41,41,1,41
0,0,0,0
39,39,1,39
13,13,11,6
0,0,0,0
232061,232061,57540,59020
1357176,1357176,189369,88026
478317,478317,70329,13432
565300,565300,156580,3073
693180,693180,166188,4917
889349,889349,174710,10160
20928,20928,11945,202
190,190,190,1
205,205,205,1
266,266,266,1
1683,1683,1683,1
194120,194120,58964,58997
534469,534469,112558,80249
344353,344353,90816,71763
867880,867880,140388,85539
596189,596189,117745,81778
535230,535230,112749,80250
326401,326401,66194,62103
1330995,1330995,188641,71605
992632,992632,147287,86614
1357121,1357121,189353,88024
1357121,1357121,189353,88024
257855,257855,71168,65630
1357121,1357121,189353,88024
1357121,1357121,189353,88024
2,2,1,2
0,0,0,0
836215,836215,103916,69107
95848,95848,23911,31329
55,55,16,46
55,55,16,46
32,32,15,23
55,55,16,46
1583372,1583372,209464,93284
0,0,0,0
22678,22678,21573,46
260439,260439,129988,647
0,0,0,0
338437,338437,144553,888
54,54,18,44
7320,7320,7314,1
4863,4863,4861,1
467380,467380,112299,80243
1583298,1583298,209445,93282
1115925,1115925,196564,13040
1583298,1583298,209445,93282
715908,715908,115587,66810
66466,66466,15137,6249
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
942323,942323,110305,75768
53711,53711,11437,24539
278823,278823,25358,38033
55683,55683,8748,3279
74,74,19,64
74,74,19,64
6282,6282,6277,1
1809568,1809568,232771,97987
1014544,1014544,209648,6248
1442180,1442180,198907,71604
1454921,1454921,224215,21003
1454837,1454837,224195,21003
1014749,1014749,209651,6249
1098708,1098708,213128,7777
0,0,0,0
1149172,1149172,172818,95499
374386,374386,97499,74608
91,91,18,84
1158722,1158722,175725,95500
1058458,1058458,164764,94914
1452395,1452395,192424,90825
520953,520953,85452,57407
18962,18962,18931,1
1809469,1809469,232750,97985
532499,532499,126187,84945
17,17,1,17
0,0,0,0
0,0,0,0
2035764,2035764,253643,102155
92,92,21,82
291179,291179,84240,73128
517151,517151,130188,85892
1304549,1304549,184106,86631
28016,28016,21341,230
0,0,0,0
0,0,0,0
1319856,1319856,138056,80621
197,197,49,148
233,233,51,182
1798971,1798971,213193,99008
21,21,10,16
101,101,22,91
101,101,22,91
2261960,2261960,274928,105919
4,4,1,4
2071684,2071684,270159,42244
371083,371083,175646,647
1483902,1483902,255278,10160
557640,557640,71338,10854
80655,80655,60879,230
824881,824881,225955,2488
1092135,1092135,118484,23171
262662,262662,151617,359
15,15,10,11
99,99,23,89
0,0,0,0
665492,665492,154486,92876
1304081,1304081,176682,94346
2011779,2011779,245466,105561
310,310,310,1
1474578,1474578,199784,90871
110,110,110,1
0,0,0,0
0,0,0,0
0,0,0,0
27,27,10,27
399972,399972,37257,45500
35,35,18,25
111,111,24,101
226196,226196,37099,34981
57370,57370,24520,1410
167818,167818,35854,16263
5,5,4,3
4,4,4,2
4,4,4,2
0,0,0,0
5,5,4,3
1,1,1,1
2,2,2,1
0,0,0,0
168788,168788,28373,33570
123430,123430,23803,31316
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
25286,25286,16357,358
226191,226191,37095,34981
226191,226191,37095,34981
226191,226191,37095,34981
58373,58373,14468,18718
226191,226191,37095,34981
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,5,4,3
5,5,4,3
117170,117170,20068,20916
0,0,0,0
5,5,4,3
2488156,2488156,296405,109542
782216,782216,233005,1913
892639,892639,239962,2487
1634568,1634568,275533,10160
194218,194218,79189,599
0,0,0,0
27119,27119,27075,1
2201,2201,2201,1
308,308,308,1
15285,15285,15276,1
409052,409052,104221,81987
23407,23407,9814,15027
931516,931516,96761,74058
630309,630309,155667,93279
715867,715867,115586,66809
1950919,1950919,244343,108651
1459928,1459928,214268,106467
21,21,21,1
782376,782376,233012,1914
4,4,1,4
0,0,0,0
22,22,12,22
2714352,2714352,318366,112935
266294,266294,110205,1410
2027035,2027035,304002,16263
2620041,2620041,315887,71604
725120,725120,241807,1411
2184585,2184585,306559,21003
992558,992558,263419,2488
587711,587711,227233,889
13,13,13,1
2399317,2399317,277764,112576
2677239,2677239,307085,112886
633596,633596,99776,66452
2273292,2273292,275924,106100
2714203,2714203,318338,112933
1989146,1989146,255925,111522
2714203,2714203,318338,112933
2714203,2714203,318338,112933
0,0,0,0
0,0,0,0
0,0,0,0
2099881,2099881,230449,59059
1725376,1725376,165551,87726
484501,484501,81373,69338
852363,852363,80694,64814
120037,120037,33854,1228
2605277,2605277,301329,110434
127,127,27,110
418732,418732,41870,33497
34,34,13,34
149,149,28,132
2940548,2940548,340509,115948
2519219,2519219,331204,29026
2683555,2683555,334262,42244
240428,240428,24645,26747
72416,72416,15469,7777
575,575,575,1
403,403,403,1
14,14,1,14
860595,860595,195359,102908
743782,743782,182712,99685
2940384,2940384,340479,115946
319942,319942,79320,70368
1665374,1665374,218071,95238
1,1,1,1
0,0,0,0
0,0,0,0
7478,7478,7464,1
2831473,2831473,323472,113538
526,526,526,1
1465971,1465971,140726,81585
2831477,2831477,323473,113538
164,164,30,147
3166744,3166744,361787,118677
1462025,1462025,317424,3664
201967,201967,129369,230
365601,365601,204739,359
114605,114605,46412,583
1810999,1810999,236303,71605
0,0,0,0
2640029,2640029,308225,118029
2482928,2482928,301203,117788
1810320,1810320,225139,105210
1860279,1860279,265362,115602
3166576,3166576,361755,118675
3,3,1,3
0,0,0,0
255,255,255,1
233533,233533,35412,44024
166,166,31,148
3392940,3392940,381981,121187
1066980,1066980,228571,4917
531648,531648,209653,888
2457839,2457839,311891,19293
1237930,1237930,317927,2488
40935,40935,38720,47
136,136,33,116
5,5,5,1
331,331,331,1
3642,3642,3641,1
2155010,2155010,292736,118699
126879,126879,53610,49583
1332786,1332786,247599,113411
1309008,1309008,176828,94347
15,15,15,1
213488,213488,135790,230
419391,419391,77328,63736
1425504,1425504,246627,113339
502,502,502,1
3,3,1,3
4,4,1,4
0,0,0,0
0,0,0,0
2088389,2088389,197874,93620
181,181,34,161
549972,549972,79663,6771
15,15,12,10
108,108,31,88
145,145,33,125
3048425,3048425,324708,114997
3619136,3619136,402172,123859
49346,49346,49260,1
22939,22939,22926,1
