0,model_0,cast_info ci,ci.id#ci.person_id#ci.movie_id#ci.role_id,36121123,1
1,model_1,movie_companies mc,mc.id#mc.movie_id#mc.company_id#mc.company_type_id,2604067,1
2,model_2,movie_info mi,mi.id#mi.movie_id#mi.info_type_id,14330115,1
3,model_3,movie_info_idx mi_idx,mi_idx.id#mi_idx.movie_id#mi_idx.info_type_id,1380035,1
4,model_4,movie_keyword mk,mk.id#mk.movie_id#mk.keyword_id,4523930,1
5,model_5,title t,t.id#t.kind_id#t.production_year,2517030,1
6,model_6,title t#cast_info ci,t.id#t.kind_id#t.production_year#ci.id#ci.person_id#ci.movie_id#ci.role_id,90917950224690,0
7,model_7,title t#cast_info ci#movie_info mi,t.id#t.kind_id#t.production_year#ci.id#ci.person_id#ci.movie_id#ci.role_id#mi.id#mi.movie_id#mi.info_type_id,1302864682284083539350,0
8,model_8,title t#cast_info ci#movie_info_idx mi_idx,t.id#t.kind_id#t.production_year#ci.id#ci.person_id#ci.movie_id#ci.role_id#mi_idx.id#mi_idx.movie_id#mi_idx.info_type_id,125469953438330064150,0
9,model_9,title t#cast_info ci#movie_keyword mk,t.id#t.kind_id#t.production_year#ci.id#ci.person_id#ci.movie_id#ci.role_id#mk.id#mk.movie_id#mk.keyword_id,411306442559981831700,1
10,model_10,title t#movie_companies mc,t.id#t.kind_id#t.production_year#mc.id#mc.movie_id#mc.company_id#mc.company_type_id,6554514761010,1
11,model_11,title t#movie_companies mc#cast_info ci,t.id#t.kind_id#t.production_year#mc.id#mc.movie_id#mc.company_id#mc.company_type_id#ci.id#ci.person_id#ci.movie_id#ci.role_id,236756433887757814230,1
12,model_12,title t#movie_companies mc#movie_info mi,t.id#t.kind_id#t.production_year#mc.id#mc.movie_id#mc.company_id#mc.company_type_id#mi.id#mi.movie_id#mi.info_type_id,93926950294470816150,1
13,model_13,title t#movie_companies mc#movie_info_idx mi_idx,t.id#t.kind_id#t.production_year#mc.id#mc.movie_id#mc.company_id#mc.company_type_id#mi_idx.id#mi_idx.movie_id#mi_idx.info_type_id,9045459778210435350,1
14,model_14,title t#movie_companies mc#movie_keyword mk,t.id#t.kind_id#t.production_year#mc.id#mc.movie_id#mc.company_id#mc.company_type_id#mk.id#mk.movie_id#mk.keyword_id,29652165962775969300,1
15,model_15,title t#movie_info mi,t.id#t.kind_id#t.production_year#mi.id#mi.movie_id#mi.info_type_id,36069329358450,1
16,model_16,title t#movie_info mi#movie_info_idx mi_idx,t.id#t.kind_id#t.production_year#mi.id#mi.movie_id#mi.info_type_id#mi_idx.id#mi_idx.movie_id#mi_idx.info_type_id,49776936941188545750,1
17,model_17,title t#movie_info mi#movie_keyword mk,t.id#t.kind_id#t.production_year#mi.id#mi.movie_id#mi.info_type_id#mk.id#mk.movie_id#mk.keyword_id,163175121164572708500,1
18,model_18,title t#movie_info_idx mi_idx,t.id#t.kind_id#t.production_year#mi_idx.id#mi_idx.movie_id#mi_idx.info_type_id,3473589496050,1
19,model_19,title t#movie_info_idx mi_idx#movie_keyword mk,t.id#t.kind_id#t.production_year#mi_idx.id#mi_idx.movie_id#mi_idx.info_type_id#mk.id#mk.movie_id#mk.keyword_id,15714275728865476500,1
20,model_20,title t#movie_keyword mk,t.id#t.kind_id#t.production_year#mk.id#mk.movie_id#mk.keyword_id,11386867527900,1
