2,2,1,2,2,1,2,1,2,2,2
1676524,3547,5,1,28589,20815,3547,1,79714,3547,19271
1511,147,6,58,1511,1425,147,9,147,147,1
14188528,180659,6,129,1600405,517523,180659,6,794869,180659,110534
213657116,462167,6,132,10830658,2314162,462167,11,4446802,462167,133606
40049954,283699,5,132,6794414,1905597,283699,11,902855,283699,1025
14757949,99813,2,72,1761007,249907,99813,3,681441,99813,65846
69763,2574,5,6,34330,24516,2574,9,4153,2574,228
10420260,19689,6,1,498370,228686,19689,11,181140,19689,30043
158446759,308388,5,122,6726773,1784273,308388,10,3300019,308388,109100
8479383,107377,6,91,528353,132859,107377,1,1222481,107377,66493
85133406,326490,5,132,7553177,2087656,326490,11,1749776,326490,3586
6546132,73429,1,66,969220,168490,73429,2,445950,73429,50612
154102815,437607,6,132,10372615,2257073,437607,11,3183087,437607,13710
5137,217,1,7,855,448,217,8,1123,217,416
13713401,167269,5,70,1731440,291785,167269,10,1053838,167269,64117
37565697,330462,6,130,8183668,1929733,330462,11,895938,330462,865
11133520,197255,5,80,1268624,205337,197255,11,1321218,197255,79942
5474,377,6,7,5474,5066,377,1,377,377,1
22031696,356985,6,130,2826874,534760,356985,10,1604335,356985,2740
587,39,4,20,71,1,39,5,381,39,302
12778642,74865,1,83,759485,139093,74865,10,835548,74865,52698
394789,10677,6,103,394789,203435,10677,7,10677,10677,1
17429308,66462,6,11,465943,161275,66462,3,918030,66462,78698
350,25,3,22,350,345,25,1,25,25,1
21210,3261,1,36,3562,609,3261,1,19513,3261,7558
45904,3423,6,105,45893,32326,3423,10,3425,3423,1
165797029,385801,6,131,9431449,2130086,385801,11,3345518,385801,132409
20359,759,5,87,20359,17394,759,9,759,759,1
321,6,2,6,321,309,6,11,6,6,1
855973,4194,5,6,112899,81310,4194,11,19125,4194,9922
138188365,187542,1,131,5011985,1646885,187542,11,2318113,187542,110403
8608899,95542,6,109,233329,58210,95542,1,1861078,95542,99605
108275416,171663,5,20,3970278,1425583,171663,11,1754549,171663,92284
49017779,132928,6,13,2351766,719732,132928,11,1223043,132928,87081
171795377,331930,6,39,8343478,1995710,331930,11,3169685,331930,119374
8,4,1,3,6,1,4,2,6,4,6
2097,215,5,65,2097,1874,215,9,215,215,1
9,4,1,2,4,1,4,1,9,4,9
46364072,244054,5,81,5249216,951397,244054,11,1576244,244054,84126
97381997,371674,6,131,5864932,1356419,371674,10,3091655,371674,131355
27333754,276713,6,118,1666790,290443,276713,11,2578527,276713,20021
1540412,13003,5,1,188859,67607,13003,11,79900,13003,12060
901,47,1,21,55,52,47,1,644,47,484
191994544,364719,5,132,8102601,2212788,364719,11,3810706,364719,119893
13126,327,1,78,13126,9967,327,11,327,327,1
122765,6665,1,28,38283,8212,6665,11,16182,6665,3944
2806,192,2,9,2806,1447,192,11,192,192,1
