cast_info.id,1,36244344,36121123,36121123
cast_info.person_id,1,4061926,36121123,4037616
cast_info.movie_id,1,2525975,36121123,2330964
cast_info.role_id,1,11,36121123,11
movie_companies.id,1,2609129,2604067,2604067
movie_companies.movie_id,2,2525745,2604067,1087017
movie_companies.company_id,1,234997,2604067,234857
movie_companies.company_type_id,1,2,2604067,2
movie_info.id,1,14835720,14330115,14330115
movie_info.movie_id,1,2526430,14330115,2468494
movie_info.info_type_id,1,110,14330115,71
movie_info_idx.id,1,1380035,1380035,1380035
movie_info_idx.movie_id,2,2525793,1380035,459925
movie_info_idx.info_type_id,99,113,1380035,5
movie_keyword.id,1,4523930,4523930,4523930
movie_keyword.movie_id,2,2525971,4523930,476794
movie_keyword.keyword_id,1,134170,4523930,134170
title.id,1,2528298,2445301,2445301
title.kind_id,1,7,2445301,6
title.production_year,1880,2019,2445301,132
ci.id,1,36244344,36121123,36121123
ci.person_id,1,4061926,36121123,4037616
ci.movie_id,1,2525975,36121123,2330964
ci.role_id,1,11,36121123,11
mc.id,1,2609129,2604067,2604067
mc.movie_id,2,2525745,2604067,1087017
mc.company_id,1,234997,2604067,234857
mc.company_type_id,1,2,2604067,2
mi.id,1,14835720,14330115,14330115
mi.movie_id,1,2526430,14330115,2468494
mi.info_type_id,1,110,14330115,71
mi_idx.id,1,1380035,1380035,1380035
mi_idx.movie_id,2,2525793,1380035,459925
mi_idx.info_type_id,99,113,1380035,5
mk.id,1,4523930,4523930,4523930
mk.movie_id,2,2525971,4523930,476794
mk.keyword_id,1,134170,4523930,134170
t.id,1,2528298,2445301,2445301
t.kind_id,1,7,2445301,6
t.production_year,1880,2019,2445301,132
